"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",3.157143,203833.400103108,1,15
"AAAA00024","B",3.157143,203833.400103108,1,15
"AAAA25029","A",3.157143,44875.4000187817,1,15
"AAAA25029","B",3.157143,44875.4000187817,1,15
"AAAA30034","A",3.157143,48247.4000108111,1,15
"AAAA30034","B",3.157143,48247.4000108111,1,15
"AAAA35039","A",3.157143,50745.2000029365,1,15
"AAAA35039","B",3.157143,50745.2000029365,1,15
"AAAA40044","A",3.157143,49073.2000064151,1,15
"AAAA40044","B",3.157143,49073.2000064151,1,15
"AAAA45049","A",3.157143,43905.2000050016,1,15
"AAAA45049","B",3.157143,43905.2000050016,1,15
"AAAA50054","A",3.157143,38093.0000049891,1,15
"AAAA50054","B",3.157143,38093.0000049891,1,15
"AAAA55059","A",3.157143,33087.2000033269,1,15
"AAAA55059","B",3.157143,33087.2000033269,1,15
"AAAA60064","A",3.157143,31023.8000030602,1,15
"AAAA60064","B",3.157143,31023.8000030602,1,15
"AAAA65069","A",3.157143,29907.8000023976,1,15
"AAAA65069","B",3.157143,29907.8000023976,1,15
"AAAA70074","A",3.157143,26911.3999984223,1,15
"AAAA70074","B",3.157143,26911.3999984223,1,15
"AAAA75079","A",3.157143,21082.1999987232,1,15
"AAAA75079","B",3.157143,21082.1999987232,1,15
"AAAA80084","A",3.157143,13098.3999962087,1,15
"AAAA80084","B",3.157143,13098.3999962087,1,15
"AAAA85150","A",3.157143,10577.3999954796,1,15
"AAAA85150","B",3.157143,10577.3999954796,1,15
"BAAA00024","A",3.157143,11312.2000318232,1,15
"BAAA00024","B",3.157143,11312.2000318232,1,15
"BAAA25029","A",3.157143,3569.00001005907,1,15
"BAAA25029","B",3.157143,3569.00001005907,1,15
"BAAA30034","A",3.157143,2899.00000689943,1,15
"BAAA30034","B",3.157143,2899.00000689943,1,15
"BAAA35039","A",3.157143,2224.40000358564,1,15
"BAAA35039","B",3.157143,2224.40000358564,1,15
"BAAA40044","A",3.157143,1372.20000178168,1,15
"BAAA40044","B",3.157143,1372.20000178168,1,15
"BAAA45049","A",3.157143,827.60000027641,1,15
"BAAA45049","B",3.157143,827.60000027641,1,15
"BAAA50054","A",3.157143,567.400000219035,1,15
"BAAA50054","B",3.157143,567.400000219035,1,15
"BAAA55059","A",3.157143,312.600000019094,1,15
"BAAA55059","B",3.157143,312.600000019094,1,15
"BAAA60064","A",3.157143,231.800000037635,1,15
"BAAA60064","B",3.157143,231.800000037635,1,15
"BAAA65069","A",3.157143,183.200000091648,1,15
"BAAA65069","B",3.157143,183.200000091648,1,15
"BAAA70074","A",3.157143,124.000000030486,1,15
"BAAA70074","B",3.157143,124.000000030486,1,15
"BAAA75079","A",3.157143,88.8000000954233,1,15
"BAAA75079","B",3.157143,88.8000000954233,1,15
"BAAA80084","A",3.157143,49.5999999459959,1,15
"BAAA80084","B",3.157143,49.5999999459959,1,15
"BAAA85150","A",3.157143,35.9999999981518,1,15
"BAAA85150","B",3.157143,35.9999999981518,1,15
"IAAA00024","A",3.157143,1670.40000117195,1,15
"IAAA00024","B",3.157143,1670.40000117195,1,15
"IAAA25029","A",3.157143,400.200000109903,1,15
"IAAA25029","B",3.157143,400.200000109903,1,15
"IAAA30034","A",3.157143,415.800000233673,1,15
"IAAA30034","B",3.157143,415.800000233673,1,15
"IAAA35039","A",3.157143,396.600000138529,1,15
"IAAA35039","B",3.157143,396.600000138529,1,15
"IAAA40044","A",3.157143,365.400000189481,1,15
"IAAA40044","B",3.157143,365.400000189481,1,15
"IAAA45049","A",3.157143,299.400000320817,1,15
"IAAA45049","B",3.157143,299.400000320817,1,15
"IAAA50054","A",3.157143,199.399999912888,1,15
"IAAA50054","B",3.157143,199.399999912888,1,15
"IAAA55059","A",3.157143,144.000000061209,1,15
"IAAA55059","B",3.157143,144.000000061209,1,15
"IAAA60064","A",3.157143,88.8000000403842,1,15
"IAAA60064","B",3.157143,88.8000000403842,1,15
"IAAA65069","A",3.157143,60.6000000392691,1,15
"IAAA65069","B",3.157143,60.6000000392691,1,15
"IAAA70074","A",3.157143,44.8000000012545,1,15
"IAAA70074","B",3.157143,44.8000000012545,1,15
"IAAA75079","A",3.157143,28.1999999773157,1,15
"IAAA75079","B",3.157143,28.1999999773157,1,15
"IAAA80084","A",3.157143,18.4000000129984,1,15
"IAAA80084","B",3.157143,18.4000000129984,1,15
"IAAA85150","A",3.157143,10.1999999729691,1,15
"IAAA85150","B",3.157143,10.1999999729691,1,15
"UAAA00024","A",3.157143,317795.600231512,1,15
"UAAA00024","B",3.157143,317795.600231512,1,15
"UAAA25029","A",3.157143,77986.6000481822,1,15
"UAAA25029","B",3.157143,77986.6000481822,1,15
"UAAA30034","A",3.157143,80854.0000213848,1,15
"UAAA30034","B",3.157143,80854.0000213848,1,15
"UAAA35039","A",3.157143,84376.3999945261,1,15
"UAAA35039","B",3.157143,84376.3999945261,1,15
"UAAA40044","A",3.157143,79944.8000011568,1,15
"UAAA40044","B",3.157143,79944.8000011568,1,15
"UAAA45049","A",3.157143,70430.2000021724,1,15
"UAAA45049","B",3.157143,70430.2000021724,1,15
"UAAA50054","A",3.157143,60301.8000020843,1,15
"UAAA50054","B",3.157143,60301.8000020843,1,15
"UAAA55059","A",3.157143,49612.0000007146,1,15
"UAAA55059","B",3.157143,49612.0000007146,1,15
"UAAA60064","A",3.157143,44006.4000004074,1,15
"UAAA60064","B",3.157143,44006.4000004074,1,15
"UAAA65069","A",3.157143,41219.6000009251,1,15
"UAAA65069","B",3.157143,41219.6000009251,1,15
"UAAA70074","A",3.157143,36458.9999977406,1,15
"UAAA70074","B",3.157143,36458.9999977406,1,15
"UAAA75079","A",3.157143,28723.7999975218,1,15
"UAAA75079","B",3.157143,28723.7999975218,1,15
"UAAA80084","A",3.157143,17867.1999957596,1,15
"UAAA80084","B",3.157143,17867.1999957596,1,15
"UAAA85150","A",3.157143,14055.1999948376,1,15
"UAAA85150","B",3.157143,14055.1999948376,1,15
"WAAA00024","A",3.157143,96970.4000810284,1,15
"WAAA00024","B",3.157143,96970.4000810284,1,15
"WAAA25029","A",3.157143,28169.6000161878,1,15
"WAAA25029","B",3.157143,28169.6000161878,1,15
"WAAA30034","A",3.157143,28439.0000014498,1,15
"WAAA30034","B",3.157143,28439.0000014498,1,15
"WAAA35039","A",3.157143,30311.7999873147,1,15
"WAAA35039","B",3.157143,30311.7999873147,1,15
"WAAA40044","A",3.157143,28667.199992191,1,15
"WAAA40044","B",3.157143,28667.199992191,1,15
"WAAA45049","A",3.157143,25075.599996319,1,15
"WAAA45049","B",3.157143,25075.599996319,1,15
"WAAA50054","A",3.157143,21220.399997124,1,15
"WAAA50054","B",3.157143,21220.399997124,1,15
"WAAA55059","A",3.157143,15849.3999974575,1,15
"WAAA55059","B",3.157143,15849.3999974575,1,15
"WAAA60064","A",3.157143,12466.7999971065,1,15
"WAAA60064","B",3.157143,12466.7999971065,1,15
"WAAA65069","A",3.157143,10916.799997972,1,15
"WAAA65069","B",3.157143,10916.799997972,1,15
"WAAA70074","A",3.157143,9280.79999928344,1,15
"WAAA70074","B",3.157143,9280.79999928344,1,15
"WAAA75079","A",3.157143,7442.99999856473,1,15
"WAAA75079","B",3.157143,7442.99999856473,1,15
"WAAA80084","A",3.157143,4649.9999995365,1,15
"WAAA80084","B",3.157143,4649.9999995365,1,15
"WAAA85150","A",3.157143,3407.99999940838,1,15
"WAAA85150","B",3.157143,3407.99999940838,1,15
