Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2016,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,A,55464.3657235759,238909.603248828,490244.241259153,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,B,55398.7196176032,238658.020094267,489782.870468202,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,C,53085.9650784572,229346.678679587,471865.746727116,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,14.6386493813732,63.0551502785144,129.389626391772,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,14.6213234764241,62.9887502116998,129.267857303539,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,14.0109207004784,60.5312180563861,124.539010431376,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,crude rate,A,25.3677306361292,109.270058037004,224.222952808229,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,crude rate,B,25.3377060841145,109.154991478246,224.011935702101,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,Deaths,crude rate,C,24.2799218038626,104.896264315551,215.817182856584,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,absolute number,A,1145915.83644276,4935967.34172545,10128640.8391205,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,absolute number,B,1144559.56180671,4930769.53377736,10119108.7352386,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,absolute number,C,1096777.13397872,4738393.51998168,9748933.8387881,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,age-adjusted rate,A,310.120916015052,1335.82822119654,2741.12921308983,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,age-adjusted rate,B,309.753865382605,1334.42153066058,2738.54952556532,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,age-adjusted rate,C,296.822435502518,1282.35852243579,2638.36853990989,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,crude rate,A,524.107395646249,2257.56282110331,4632.53530739809,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,crude rate,B,523.487076470381,2255.18550027388,4628.17561013088,EPA,attributable,25,150
2016,us,All,All Origins,A,666,666,nvss,YLL,crude rate,C,501.632832894931,2167.19850474701,4458.86875988738,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,absolute number,A,9172.68140142473,39503.2922419562,81047.4577161555,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,absolute number,B,9158.23856467329,39447.9618747875,80946.0263033645,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,absolute number,C,8761.0956949095,37849.6367281688,77871.5978278874,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,A,9.72280181260923,41.8724541500446,85.9081804223147,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,B,9.70749278428908,41.813805411398,85.800665783903,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,C,9.28653175391856,40.1196226580028,82.5418521997462,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,crude rate,A,14.1624128695716,60.9921908277585,125.135443822028,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,crude rate,B,14.1401134558964,60.9067619907833,124.978836012051,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,Deaths,crude rate,C,13.5269338365838,58.4389840711538,120.231987898378,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,absolute number,A,178518.94364647,768814.013369792,1577347.55013651,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,absolute number,B,178237.856814028,767737.172447682,1575373.48956778,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,absolute number,C,170508.652834922,736630.530421107,1515538.88943946,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,age-adjusted rate,A,184.137246681684,793.009933514744,1626.98943321907,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,age-adjusted rate,B,183.847313555557,791.899202527538,1624.9532455155,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,age-adjusted rate,C,175.874858024047,759.813580132025,1563.23554598805,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,crude rate,A,275.629216181911,1187.03146885317,2435.38898455262,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,crude rate,B,275.195224462475,1185.36885079566,2432.34107962926,EPA,attributable,25,150
2016,us,All,All Origins,A,higher,666,nvss,YLL,crude rate,C,263.261508124281,1137.34089821705,2339.95780871663,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,absolute number,A,35572.6675342968,153121.809284016,314011.77173808,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,absolute number,B,35533.0939252783,152970.125344742,313733.564159435,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,absolute number,C,33879.3127361557,146314.924197611,300933.098653722,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,A,20.9304997698275,90.0949019604643,184.760485272866,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,B,20.907215167579,90.0056530827128,184.596791514022,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,C,19.9341515994644,86.0898183777702,177.065162347817,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,crude rate,A,41.0585917967124,176.735856441044,362.437850429008,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,crude rate,B,41.0129152486423,176.560780199186,362.116738401203,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,Deaths,crude rate,C,39.1040922260281,168.879231241363,347.342218399287,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,absolute number,A,722324.480316156,3109230.7376024,6376198.51295046,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,absolute number,B,721520.914304668,3106150.70368302,6370549.34018399,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,absolute number,C,687939.889298942,2971012.82836438,6110628.16375537,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,age-adjusted rate,A,467.271735972269,2011.36149180754,4124.7630798088,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,age-adjusted rate,B,466.751909086446,2009.36901773864,4121.10862971424,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,age-adjusted rate,C,445.02834263154,1921.9483206468,3952.96561001125,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,crude rate,A,833.719482900167,3588.72821482747,7359.51926308674,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,crude rate,B,832.791993028466,3585.17318608822,7352.99888958976,EPA,attributable,25,150
2016,us,All,All Origins,A,lower,666,nvss,YLL,crude rate,C,794.032189690807,3429.19469913238,7052.99334538887,EPA,attributable,25,150
2016,us,All,All Origins,A,middle,666,nvss,Deaths,absolute number,A,10242.9597318456,44123.1011319613,90545.4754128712,EPA,attributable,25,150
2016,us,All,All Origins,A,middle,666,nvss,Deaths,absolute number,B,10229.8047023092,44072.6823368022,90453.0079864238,EPA,attributable,25,150
2016,us,All,All Origins,A,middle,666,nvss,Deaths,absolute number,C,9787.03550214889,42290.8739482506,87025.9063089714,EPA,attributable,25,150
2016,us,All,All Origins,A,middle,666,nvss,Deaths,age-adjusted rate,A,10.962415665935,47.2222665851967,96.9053051199239,EPA,attributable,25,150
