Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2000,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,A,46556.9226662853,192626.560096672,381230.478710285,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,B,39400.0568162241,165726.616932425,332820.025445946,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,C,27909.8934112263,119974.037629964,245709.496024154,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,32.2482310789995,133.425180750803,264.064028886293,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,B,27.2909390047683,114.792600814398,230.53192680348,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,C,19.3321345263064,83.1015081624674,170.193736018327,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,A,47.9989008455987,198.592660957904,393.038089697158,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,B,40.6203699069311,170.8595628331,343.128250020229,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,C,28.7743289233074,123.689917770638,253.31970115426,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,absolute number,A,972513.913716801,4023719.76318525,7963411.74729645,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,absolute number,B,823016.240348681,3461814.73365961,6952179.97610811,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,absolute number,C,583001.584261199,2506102.51275082,5132553.65541751,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,A,665.589004730808,2753.83580092823,5450.16294819629,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,B,563.272722955086,2369.26772012222,4758.07542261522,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,C,399.006573326923,1715.17780227968,3512.72226654395,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,crude rate,A,1002.63497332184,4148.34389566441,8210.05747289131,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,crude rate,B,848.507002878455,3569.0353363301,7167.50545833692,EPA,attributable,25,150
2000,us,All,All Origins,A,666,1,nvss,YLL,crude rate,C,601.058524343679,2583.7224440425,5291.52100015198,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,A,23045.7422085023,96341.0536399769,192445.642900557,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,B,20932.6904265466,88316.6069714926,177860.499589538,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,C,15444.2852324084,66446.1123690986,136190.366096854,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,28.5295820800819,119.26584844333,238.238964725552,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,B,25.9137199521732,109.3319479508,220.183219786778,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,C,19.1193236138706,82.2572690254759,168.597487246174,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,A,46.1604869593309,192.97056740293,385.467498035878,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,B,41.928056589205,176.897647622557,356.253541222637,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,C,30.9348130607726,133.09117474986,272.788507366059,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,absolute number,A,470990.350829861,1968940.99754663,3933049.32622093,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,absolute number,B,427805.497371863,1804943.80806968,3634969.89346453,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,absolute number,C,315637.884608673,1357972.22293219,2783349.20729693,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,A,588.98508934502,2462.20944295734,4918.37551389543,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,B,534.9813613971,2257.1268990661,4545.61980664027,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,C,394.712985816706,1698.17787061353,3480.64706346896,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,crude rate,A,943.390920142788,3943.7773111691,7877.87481483007,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,crude rate,B,856.891911048036,3615.29189908177,7280.82345305963,EPA,attributable,25,150
2000,us,All,All Origins,A,666,2,nvss,YLL,crude rate,C,632.220838215143,2720.01042624996,5575.03219572132,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,A,11835.9583490861,49703.0126404796,99693.2596727625,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,B,10964.4030748906,46377.6962408209,93621.5614514821,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,C,8309.23412732317,35798.7300433748,73468.0670673285,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,A,27.0949634327447,113.780504313368,228.218547721839,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,B,25.0997926499946,106.168165405635,214.319171226234,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,C,19.0215602483358,81.9507177075214,168.183642756515,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,crude rate,A,48.5921880889115,204.054295189219,409.287822949259,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,crude rate,B,45.0140428669945,190.402303928213,384.360639760046,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,Deaths,crude rate,C,34.1133227814091,146.970661124889,301.621045645199,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,absolute number,A,234973.450810774,986729.426665036,1979161.1762213,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,absolute number,B,217670.893272976,920713.55820553,1858622.74230174,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,absolute number,C,164959.132070833,710694.553397494,1458525.34573514,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,age-adjusted rate,A,564.901040102233,2372.20195515382,4758.11289794491,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,age-adjusted rate,B,523.303860864302,2213.49282172896,4468.32574770093,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,age-adjusted rate,C,396.579209096342,1708.58491043971,3506.44926896341,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,crude rate,A,964.676774025594,4050.98940696029,8125.38953726902,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,crude rate,B,893.641619499149,3779.96314931172,7630.52244833457,EPA,attributable,25,150
2000,us,All,All Origins,A,666,3,nvss,YLL,crude rate,C,677.234993243144,2917.73613879964,5987.93404320138,EPA,attributable,25,150
2000,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,A,82011.0927983331,340892.923055291,677503.470302122,EPA,attributable,25,150
2000,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,B,71587.6178882855,301593.648021355,606565.578810991,EPA,attributable,25,150
