"label","exposure_spline","mean","rr"
"cvd_stroke_95",0,1,1
"cvd_stroke_95",0.01,1.00005138173948,1
"cvd_stroke_95",0.02,1.000102754268,1
"cvd_stroke_95",0.03,1.00015411758773,1
"cvd_stroke_95",0.04,1.00020547170081,1
"cvd_stroke_95",0.05,1.00025681660943,1
"cvd_stroke_95",0.06,1.00030815231575,1
"cvd_stroke_95",0.07,1.00035947882192,1
"cvd_stroke_95",0.08,1.00041079613013,1
"cvd_stroke_95",0.09,1.00046210424252,1
"cvd_stroke_95",0.1,1.00051340316128,1
"cvd_stroke_95",0.11,1.00056469288855,1
"cvd_stroke_95",0.12,1.00061597342652,1
"cvd_stroke_95",0.13,1.00066724477733,1
"cvd_stroke_95",0.14,1.00071850694317,1
"cvd_stroke_95",0.15,1.00076975992619,1
"cvd_stroke_95",0.16,1.00082100372856,1
"cvd_stroke_95",0.17,1.00087223835244,1
"cvd_stroke_95",0.18,1.00092346380001,1
"cvd_stroke_95",0.19,1.00097468007341,1
"cvd_stroke_95",0.2,1.00102588717483,1
"cvd_stroke_95",0.21,1.00107708510642,1
"cvd_stroke_95",0.22,1.00112827387036,1
"cvd_stroke_95",0.23,1.0011794534688,1
"cvd_stroke_95",0.24,1.00123062390391,1
"cvd_stroke_95",0.25,1.00128178517785,1
"cvd_stroke_95",0.26,1.0013329372928,1
"cvd_stroke_95",0.27,1.00138408025092,1
"cvd_stroke_95",0.28,1.00143521405436,1
"cvd_stroke_95",0.29,1.00148633870531,1
"cvd_stroke_95",0.3,1.00153745420591,1
"cvd_stroke_95",0.31,1.00158856055835,1
"cvd_stroke_95",0.32,1.00163965776478,1
"cvd_stroke_95",0.33,1.00169074582736,1
"cvd_stroke_95",0.34,1.00174182474827,1
"cvd_stroke_95",0.35,1.00179289452967,1
"cvd_stroke_95",0.36,1.00184395517372,1
"cvd_stroke_95",0.37,1.00189500668259,1
"cvd_stroke_95",0.38,1.00194604905844,1
"cvd_stroke_95",0.39,1.00199708230345,1
"cvd_stroke_95",0.4,1.00204810641977,1
"cvd_stroke_95",0.41,1.00209912140957,1
"cvd_stroke_95",0.42,1.00215012727501,1
"cvd_stroke_95",0.43,1.00220112401827,1
"cvd_stroke_95",0.44,1.0022521116415,1
"cvd_stroke_95",0.45,1.00230309014688,1
"cvd_stroke_95",0.46,1.00235405953655,1
"cvd_stroke_95",0.47,1.00240501981271,1
"cvd_stroke_95",0.48,1.00245597097749,1
"cvd_stroke_95",0.49,1.00250691303308,1
"cvd_stroke_95",0.5,1.00255784598164,1
"cvd_stroke_95",0.51,1.00260876982533,1
"cvd_stroke_95",0.52,1.00265968456632,1
"cvd_stroke_95",0.53,1.00271059020677,1
"cvd_stroke_95",0.54,1.00276148674885,1
"cvd_stroke_95",0.55,1.00281237419472,1
"cvd_stroke_95",0.56,1.00286325254656,1
"cvd_stroke_95",0.57,1.00291412180651,1
"cvd_stroke_95",0.58,1.00296498197676,1
"cvd_stroke_95",0.59,1.00301583305946,1
"cvd_stroke_95",0.6,1.00306667505678,1
"cvd_stroke_95",0.61,1.00311750797088,1
"cvd_stroke_95",0.62,1.00316833180394,1
"cvd_stroke_95",0.63,1.00321914655811,1
"cvd_stroke_95",0.64,1.00326995223556,1
"cvd_stroke_95",0.65,1.00332074883846,1
"cvd_stroke_95",0.66,1.00337153636897,1
"cvd_stroke_95",0.67,1.00342231482926,1
"cvd_stroke_95",0.68,1.00347308422148,1
"cvd_stroke_95",0.69,1.00352384454782,1
"cvd_stroke_95",0.7,1.00357459581043,1
"cvd_stroke_95",0.71,1.00362533801147,1
"cvd_stroke_95",0.72,1.00367607115312,1
"cvd_stroke_95",0.73,1.00372679523754,1
"cvd_stroke_95",0.74,1.00377751026688,1
"cvd_stroke_95",0.75,1.00382821624333,1
"cvd_stroke_95",0.76,1.00387891316904,1
"cvd_stroke_95",0.77,1.00392960104618,1
"cvd_stroke_95",0.78,1.00398027987692,1
"cvd_stroke_95",0.79,1.00403094966341,1
"cvd_stroke_95",0.8,1.00408161040783,1
"cvd_stroke_95",0.81,1.00413226211234,1
