"label","exposure_spline","mrbrt","rr","interpolated"
"cvd_ihd",0,1,1,"not interpolated"
"cvd_ihd",0.01,1.00010694569349,1,"not interpolated"
"cvd_ihd",0.02,1.00021386788206,1,"not interpolated"
"cvd_ihd",0.03,1.0003207665691,1,"not interpolated"
"cvd_ihd",0.04,1.00042764175796,1,"not interpolated"
"cvd_ihd",0.05,1.00053449345201,1,"not interpolated"
"cvd_ihd",0.06,1.00064132165462,1,"not interpolated"
"cvd_ihd",0.07,1.00074812636917,1,"not interpolated"
"cvd_ihd",0.08,1.000854907599,1,"not interpolated"
"cvd_ihd",0.09,1.0009616653475,1,"not interpolated"
"cvd_ihd",0.1,1.00106839961802,1,"not interpolated"
"cvd_ihd",0.11,1.00117511041394,1,"not interpolated"
"cvd_ihd",0.12,1.00128179773863,1,"not interpolated"
"cvd_ihd",0.13,1.00138846159545,1,"not interpolated"
"cvd_ihd",0.14,1.00149510198776,1,"not interpolated"
"cvd_ihd",0.15,1.00160171891894,1,"not interpolated"
"cvd_ihd",0.16,1.00170831239235,1,"not interpolated"
"cvd_ihd",0.17,1.00181488241136,1,"not interpolated"
"cvd_ihd",0.18,1.00192142897934,1,"not interpolated"
"cvd_ihd",0.19,1.00202795209965,1,"not interpolated"
"cvd_ihd",0.2,1.00213445177566,1,"not interpolated"
"cvd_ihd",0.21,1.00224092801074,1,"not interpolated"
"cvd_ihd",0.22,1.00234738080826,1,"not interpolated"
"cvd_ihd",0.23,1.00245381017158,1,"not interpolated"
"cvd_ihd",0.24,1.00256021610406,1,"not interpolated"
"cvd_ihd",0.25,1.00266659860909,1,"not interpolated"
"cvd_ihd",0.26,1.00277295769002,1,"not interpolated"
"cvd_ihd",0.27,1.00287929335022,1,"not interpolated"
"cvd_ihd",0.28,1.00298560559307,1,"not interpolated"
"cvd_ihd",0.29,1.00309189442191,1,"not interpolated"
"cvd_ihd",0.3,1.00319815984014,1,"not interpolated"
"cvd_ihd",0.31,1.0033044018511,1,"not interpolated"
"cvd_ihd",0.32,1.00341062045817,1,"not interpolated"
"cvd_ihd",0.33,1.00351681566471,1,"not interpolated"
"cvd_ihd",0.34,1.0036229874741,1,"not interpolated"
"cvd_ihd",0.35,1.0037291358897,1,"not interpolated"
"cvd_ihd",0.36,1.00383526091487,1,"not interpolated"
"cvd_ihd",0.37,1.00394136255299,1,"not interpolated"
"cvd_ihd",0.38,1.00404744080742,1,"not interpolated"
"cvd_ihd",0.39,1.00415349568153,1,"not interpolated"
"cvd_ihd",0.4,1.00425952717868,1,"not interpolated"
"cvd_ihd",0.41,1.00436553530225,1,"not interpolated"
"cvd_ihd",0.42,1.0044715200556,1,"not interpolated"
"cvd_ihd",0.43,1.00457748144209,1,"not interpolated"
"cvd_ihd",0.44,1.0046834194651,1,"not interpolated"
"cvd_ihd",0.45,1.00478933412799,1,"not interpolated"
"cvd_ihd",0.46,1.00489522543413,1,"not interpolated"
"cvd_ihd",0.47,1.00500109338689,1,"not interpolated"
"cvd_ihd",0.48,1.00510693798963,1,"not interpolated"
"cvd_ihd",0.49,1.00521275924572,1,"not interpolated"
"cvd_ihd",0.5,1.00531855715852,1,"not interpolated"
"cvd_ihd",0.51,1.00542433173142,1,"not interpolated"
"cvd_ihd",0.52,1.00553008296776,1,"not interpolated"
"cvd_ihd",0.53,1.00563581087093,1,"not interpolated"
"cvd_ihd",0.54,1.00574151544428,1,"not interpolated"
"cvd_ihd",0.55,1.00584719669119,1,"not interpolated"
"cvd_ihd",0.56,1.00595285461502,1,"not interpolated"
"cvd_ihd",0.57,1.00605848921914,1,"not interpolated"
"cvd_ihd",0.58,1.00616410050691,1,"not interpolated"
"cvd_ihd",0.59,1.0062696884817,1,"not interpolated"
"cvd_ihd",0.6,1.00637525314689,1,"not interpolated"
"cvd_ihd",0.61,1.00648079450583,1,"not interpolated"
"cvd_ihd",0.62,1.0065863125619,1,"not interpolated"
"cvd_ihd",0.63,1.00669180731846,1,"not interpolated"
"cvd_ihd",0.64,1.00679727877888,1,"not interpolated"
"cvd_ihd",0.65,1.00690272694653,1,"not interpolated"
"cvd_ihd",0.66,1.00700815182477,1,"not interpolated"
"cvd_ihd",0.67,1.00711355341697,1,"not interpolated"
"cvd_ihd",0.68,1.0072189317265,1,"not interpolated"
"cvd_ihd",0.69,1.00732428675672,1,"not interpolated"
"cvd_ihd",0.7,1.00742961851101,1,"not interpolated"
"cvd_ihd",0.71,1.00753492699273,1,"not interpolated"
"cvd_ihd",0.72,1.00764021220524,1,"not interpolated"
"cvd_ihd",0.73,1.00774547415192,1,"not interpolated"
"cvd_ihd",0.74,1.00785071283613,1,"not interpolated"
"cvd_ihd",0.75,1.00795592826123,1,"not interpolated"
"cvd_ihd",0.76,1.00806112043061,1,"not interpolated"
"cvd_ihd",0.77,1.00816628934761,1,"not interpolated"
"cvd_ihd",0.78,1.00827143501562,1,"not interpolated"
"cvd_ihd",0.79,1.008376557438,1,"not interpolated"
"cvd_ihd",0.8,1.00848165661811,1,"not interpolated"
"cvd_ihd",0.81,1.00858673255932,1,"not interpolated"
"cvd_ihd",0.82,1.008691785265,1,"not interpolated"
"cvd_ihd",0.83,1.00879681473852,1,"not interpolated"
"cvd_ihd",0.84,1.00890182098324,1,"not interpolated"
"cvd_ihd",0.85,1.00900680400253,1,"not interpolated"
"cvd_ihd",0.86,1.00911176379976,1,"not interpolated"
"cvd_ihd",0.87,1.0092167003783,1,"not interpolated"
"cvd_ihd",0.88,1.00932161374151,1,"not interpolated"
"cvd_ihd",0.89,1.00942650389276,1,"not interpolated"
"cvd_ihd",0.9,1.00953137083541,1,"not interpolated"
"cvd_ihd",0.91,1.00963621457284,1,"not interpolated"
"cvd_ihd",0.92,1.00974103510841,1,"not interpolated"
"cvd_ihd",0.93,1.00984583244549,1,"not interpolated"
"cvd_ihd",0.94,1.00995060658745,1,"not interpolated"
"cvd_ihd",0.95,1.01005535753765,1,"not interpolated"
"cvd_ihd",0.96,1.01016008529946,1,"not interpolated"
"cvd_ihd",0.97,1.01026478987625,1,"not interpolated"
"cvd_ihd",0.98,1.01036947127138,1,"not interpolated"
"cvd_ihd",0.99,1.01047412948823,1,"not interpolated"
"cvd_ihd",1,1.01057876453015,1,"not interpolated"
"cvd_ihd",1.1,1.01162384106956,1,"not interpolated"
"cvd_ihd",1.2,1.01266660382085,1,"not interpolated"
"cvd_ihd",1.3,1.01370705615126,1,"not interpolated"
"cvd_ihd",1.4,1.01474520142802,1,"not interpolated"
"cvd_ihd",1.5,1.01578104301835,1,"not interpolated"
"cvd_ihd",1.6,1.01681458428948,1,"not interpolated"
"cvd_ihd",1.7,1.01784582860865,1,"not interpolated"
"cvd_ihd",1.8,1.01887477934307,1,"not interpolated"
"cvd_ihd",1.9,1.01990143985997,1,"not interpolated"
"cvd_ihd",2,1.02092581352659,1,"not interpolated"
"cvd_ihd",2.1,1.02194790371015,1,"not interpolated"
"cvd_ihd",2.2,1.02296771377787,1,"not interpolated"
