"label","exposure_spline","mean","rr"
"t2_dm",0,1,1
"t2_dm",0.01,1.00025502275517,1
"t2_dm",0.02,1.0005099390383,1
"t2_dm",0.03,1.00076474887484,1
"t2_dm",0.04,1.00101945229027,1
"t2_dm",0.05,1.00127404931004,1
"t2_dm",0.06,1.00152853995961,1
"t2_dm",0.07,1.00178292426446,1
"t2_dm",0.08,1.00203720225004,1
"t2_dm",0.09,1.00229137394181,1
"t2_dm",0.1,1.00254543936526,1
"t2_dm",0.11,1.00279939854582,1
"t2_dm",0.12,1.00305325150898,1
"t2_dm",0.13,1.00330699828019,1
"t2_dm",0.14,1.00356063888492,1
"t2_dm",0.15,1.00381417334862,1
"t2_dm",0.16,1.00406760169678,1
"t2_dm",0.17,1.00432092395484,1
"t2_dm",0.18,1.00457414014827,1
"t2_dm",0.19,1.00482725030253,1
"t2_dm",0.2,1.0050802544431,1
"t2_dm",0.21,1.00533315259543,1
"t2_dm",0.22,1.00558594478499,1
"t2_dm",0.23,1.00583863103723,1
"t2_dm",0.24,1.00609121137763,1
"t2_dm",0.25,1.00634368583165,1
"t2_dm",0.26,1.00659605442475,1
"t2_dm",0.27,1.00684831718239,1
"t2_dm",0.28,1.00710047413005,1
"t2_dm",0.29,1.00735252529317,1
"t2_dm",0.3,1.00760447069724,1
"t2_dm",0.31,1.0078563103677,1
"t2_dm",0.32,1.00810804433002,1
"t2_dm",0.33,1.00835967260968,1
"t2_dm",0.34,1.00861119523212,1
"t2_dm",0.35,1.00886261222282,1
"t2_dm",0.36,1.00911392360723,1
"t2_dm",0.37,1.00936512941083,1
"t2_dm",0.38,1.00961622965908,1
"t2_dm",0.39,1.00986722437743,1
"t2_dm",0.4,1.01011811359136,1
"t2_dm",0.41,1.01036889732632,1
"t2_dm",0.42,1.01061957560779,1
"t2_dm",0.43,1.01087014846122,1
"t2_dm",0.44,1.01112061591207,1
"t2_dm",0.45,1.01137097798582,1
"t2_dm",0.46,1.01162123470793,1
"t2_dm",0.47,1.01187138610385,1
"t2_dm",0.48,1.01212143219906,1
"t2_dm",0.49,1.01237137301901,1
"t2_dm",0.5,1.01262120858917,1
"t2_dm",0.51,1.01287093893501,1
"t2_dm",0.52,1.01312056408198,1
"t2_dm",0.53,1.01337008405556,1
"t2_dm",0.54,1.0136194988812,1
"t2_dm",0.55,1.01386880858437,1
"t2_dm",0.56,1.01411801319053,1
"t2_dm",0.57,1.01436711272515,1
"t2_dm",0.58,1.01461610721368,1
"t2_dm",0.59,1.01486499668161,1
"t2_dm",0.6,1.01511378115437,1
"t2_dm",0.61,1.01536246065745,1
"t2_dm",0.62,1.01561103521631,1
"t2_dm",0.63,1.0158595048564,1
"t2_dm",0.64,1.01610786960319,1
"t2_dm",0.65,1.01635612948215,1
"t2_dm",0.66,1.01660428451874,1
"t2_dm",0.67,1.01685233473842,1
"t2_dm",0.68,1.01710028016666,1
"t2_dm",0.69,1.01734812082892,1
"t2_dm",0.7,1.01759585675066,1
"t2_dm",0.71,1.01784348795735,1
"t2_dm",0.72,1.01809101447446,1
"t2_dm",0.73,1.01833843632743,1
"t2_dm",0.74,1.01858575354175,1
"t2_dm",0.75,1.01883296614287,1
"t2_dm",0.76,1.01908007415626,1
"t2_dm",0.77,1.01932707760737,1
"t2_dm",0.78,1.01957397652168,1
"t2_dm",0.79,1.01982077092465,1
"t2_dm",0.8,1.02006746084174,1
"t2_dm",0.81,1.02031404629841,1
"t2_dm",0.82,1.02056052732013,1
"t2_dm",0.83,1.02080690393237,1
"t2_dm",0.84,1.02105317616058,1
"t2_dm",0.85,1.02129934403023,1
"t2_dm",0.86,1.02154540756678,1
"t2_dm",0.87,1.0217913667957,1
"t2_dm",0.88,1.02203722174245,1
"t2_dm",0.89,1.0222829724325,1
"t2_dm",0.9,1.0225286188913,1
"t2_dm",0.91,1.02277416114433,1
"t2_dm",0.92,1.02301959921704,1
"t2_dm",0.93,1.0232649331349,1
"t2_dm",0.94,1.02351016292337,1
"t2_dm",0.95,1.02375528860792,1
"t2_dm",0.96,1.02400031021401,1
"t2_dm",0.97,1.02424522776711,1
"t2_dm",0.98,1.02449004129267,1
"t2_dm",0.99,1.02473475081617,1
"t2_dm",1,1.02497935636305,1
"t2_dm",1.1,1.02741969872069,1
"t2_dm",1.2,1.02984967142792,1
"t2_dm",1.3,1.03226929994843,1
"t2_dm",1.4,1.03467860974592,1
"t2_dm",1.5,1.0370776262841,1
"t2_dm",1.6,1.03946637502667,1
"t2_dm",1.7,1.04184488143732,1
"t2_dm",1.8,1.04421317097976,1
"t2_dm",1.9,1.04657126911768,1
"t2_dm",2,1.04891920131478,1
"t2_dm",2.1,1.05125699303477,1
"t2_dm",2.2,1.05358466974134,1
"t2_dm",2.3,1.05590225689819,1
"t2_dm",2.4,1.05820977996902,1
"t2_dm",2.5,1.06050726441754,1.00003039546873
"t2_dm",2.6,1.06279473570744,1.00011026853451
"t2_dm",2.7,1.06507221930242,1.00026479503723
"t2_dm",2.8,1.06733974066618,1.00046974121399
"t2_dm",2.9,1.06959732526242,1.00072878319541
"t2_dm",3,1.07184499855484,1.00105393336674
"t2_dm",3.1,1.07408278600715,1.00144237494001
"t2_dm",3.2,1.07631071308303,1.00189133272406
"t2_dm",3.3,1.07852880524619,1.00238776853093
"t2_dm",3.4,1.08073708796033,1.00293933873448
"t2_dm",3.5,1.08293558668915,1.0035372873658
"t2_dm",3.6,1.08512432689635,1.00417704645808
"t2_dm",3.7,1.08730333404562,1.00489829962021
"t2_dm",3.8,1.08947263360067,1.00568018336909
"t2_dm",3.9,1.0916322510252,1.00651606289786
"t2_dm",4,1.09378221178291,1.00742501499538
"t2_dm",4.1,1.0959225413375,1.00837685881261
"t2_dm",4.2,1.09805326515266,1.00940219992044
"t2_dm",4.3,1.10017440869209,1.01048474622632
"t2_dm",4.4,1.10228599741951,1.01160272189846
