Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2000,All,All Origins,666,A,1,Deaths,absolute number,attributable,25,150,A,1470.05905058412,1226.67021055679,1777.08299982974,nvss,GBD
2000,All,All Origins,666,A,1,Deaths,absolute number,attributable,25,150,B,1044.689308504,808.321053191204,1356.16026725399,nvss,GBD
2000,All,All Origins,666,A,1,Deaths,age-adjusted rate,attributable,85,150,A,4.19039048575122,3.29344893422486,5.32373689058275,nvss,GBD
2000,All,All Origins,666,A,1,Deaths,age-adjusted rate,attributable,85,150,B,2.91841551864198,2.120109866492,3.96296250212184,nvss,GBD
2000,All,All Origins,666,A,1,Deaths,crude rate,attributable,25,150,A,50.9083855758482,42.4797902020457,61.5406751991839,nvss,GBD
2000,All,All Origins,666,A,1,Deaths,crude rate,attributable,25,150,B,36.1777617730091,27.9922903971666,46.9640520634725,nvss,GBD
2000,All,All Origins,666,A,1,YLL,absolute number,attributable,25,150,A,34403.3428336892,28701.4786496274,41442.1323210689,nvss,GBD
2000,All,All Origins,666,A,1,YLL,absolute number,attributable,25,150,B,24582.3722848602,19006.326185391,31785.3669009448,nvss,GBD
2000,All,All Origins,666,A,1,YLL,age-adjusted rate,attributable,85,150,A,36.4129195956314,28.6885019807316,46.2106089704173,nvss,GBD
2000,All,All Origins,666,A,1,YLL,age-adjusted rate,attributable,85,150,B,25.3589223274261,18.4453191615042,34.3989811063276,nvss,GBD
2000,All,All Origins,666,A,1,YLL,crude rate,attributable,25,150,A,1191.39339428551,993.936904175132,1435.14782650942,nvss,GBD
2000,All,All Origins,666,A,1,YLL,crude rate,attributable,25,150,B,851.291576450248,658.192187206196,1100.7324591622,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,absolute number,attributable,35,150,A,24.452157818809,11.906093641632,43.3369576725933,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,absolute number,attributable,35,150,B,22.4877983114383,10.0453072985429,41.3873804580441,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,age-adjusted rate,attributable,85,150,A,0.901247280072008,0.425064589321324,1.62650635202196,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,age-adjusted rate,attributable,85,150,B,0.826684657302007,0.356139477748605,1.54885759309132,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,crude rate,attributable,35,150,A,6.44023562566411,3.13583974884824,11.4141345225674,nvss,GBD
2000,All,All Origins,666,A,2,Deaths,crude rate,attributable,35,150,B,5.92286050585978,2.64574384044977,10.9006527789454,nvss,GBD
2000,All,All Origins,666,A,2,YLL,absolute number,attributable,35,150,A,636.016603501398,309.864327745114,1117.97821496384,nvss,GBD
2000,All,All Origins,666,A,2,YLL,absolute number,attributable,35,150,B,585.046422156156,258.812546701876,1067.85142353618,nvss,GBD
2000,All,All Origins,666,A,2,YLL,age-adjusted rate,attributable,85,150,A,8.03704189445335,3.79978780832018,14.4635973154508,nvss,GBD
2000,All,All Origins,666,A,2,YLL,age-adjusted rate,attributable,85,150,B,7.37193746824506,3.18628815824376,13.7698493071046,nvss,GBD
2000,All,All Origins,666,A,2,YLL,crude rate,attributable,35,150,A,167.514737093379,81.6123999139045,294.454304690776,nvss,GBD
2000,All,All Origins,666,A,2,YLL,crude rate,attributable,35,150,B,154.090155910049,68.1663269143526,281.251856451041,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,absolute number,attributable,25,150,A,692.345606347607,475.996373392299,987.8190575598,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,absolute number,attributable,25,150,B,687.554503997745,471.30203239994,982.915799155282,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,age-adjusted rate,attributable,85,150,A,2.25265106677106,1.46494221761406,3.32348232237034,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,age-adjusted rate,attributable,85,150,B,2.23667142380603,1.44979002365232,3.30574606524972,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,crude rate,attributable,25,150,A,21.1885561284575,14.567400705799,30.231230405696,nvss,GBD
2000,All,All Origins,666,A,4,Deaths,crude rate,attributable,25,150,B,21.041929154694,14.4237350181846,30.0811710062228,nvss,GBD
2000,All,All Origins,666,A,4,YLL,absolute number,attributable,25,150,A,15034.5916482762,10306.8919374764,21507.5884075098,nvss,GBD
2000,All,All Origins,666,A,4,YLL,absolute number,attributable,25,150,B,14931.2280268696,10206.2459603388,21406.7987587897,nvss,GBD
2000,All,All Origins,666,A,4,YLL,age-adjusted rate,attributable,85,150,A,19.7740712214815,12.881586532692,29.1081242581502,nvss,GBD
2000,All,All Origins,666,A,4,YLL,age-adjusted rate,attributable,85,150,B,19.6337158933521,12.7485625919588,28.9525205474171,nvss,GBD
2000,All,All Origins,666,A,4,YLL,crude rate,attributable,25,150,A,460.118885838641,315.432287465861,658.218583294486,nvss,GBD
2000,All,All Origins,666,A,4,YLL,crude rate,attributable,25,150,B,456.955543898236,312.352116354596,655.134015255786,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,absolute number,attributable,25,150,A,789.916885995144,623.726186587221,1002.81526825264,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,absolute number,attributable,25,150,B,707.559979861019,542.737679918141,920.894925965142,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,age-adjusted rate,attributable,85,150,A,3.5489517401579,2.64178109797365,4.7257808131854,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,age-adjusted rate,attributable,85,150,B,3.14012673672423,2.26399832130982,4.29091686781862,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,crude rate,attributable,25,150,A,45.5424991392222,35.9608078006493,57.8171125354006,nvss,GBD
2000,All,All Origins,666,A,5,Deaths,crude rate,attributable,25,150,B,40.7942282853877,31.2914317426648,53.0940116823118,nvss,GBD
2000,All,All Origins,666,A,5,YLL,absolute number,attributable,25,150,A,18200.4264654432,14396.1608580666,23035.9953465976,nvss,GBD
2000,All,All Origins,666,A,5,YLL,absolute number,attributable,25,150,B,16344.871056835,12548.001483029,21175.9086040117,nvss,GBD
2000,All,All Origins,666,A,5,YLL,age-adjusted rate,attributable,85,150,A,31.0211862675186,23.138564673712,41.221378684583,nvss,GBD
2000,All,All Origins,666,A,5,YLL,age-adjusted rate,attributable,85,150,B,27.448936188364,19.8356669440897,37.428838385898,nvss,GBD
2000,All,All Origins,666,A,5,YLL,crude rate,attributable,25,150,A,1049.34192613401,830.007757918256,1328.13567711223,nvss,GBD
2000,All,All Origins,666,A,5,YLL,crude rate,attributable,25,150,B,942.360252368606,723.452500980361,1220.892750198,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,absolute number,attributable,25,150,A,7617.09726207526,6233.64909700394,9454.88645264868,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,absolute number,attributable,25,150,B,5452.48404174829,4086.73298913882,7266.83954180628,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,age-adjusted rate,attributable,85,150,A,5.03152009293866,3.83628544048577,6.54816163157221,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,age-adjusted rate,attributable,85,150,B,3.5515399348483,2.47373990665444,5.00366279420417,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,crude rate,attributable,25,150,A,35.7115067600886,29.225437749895,44.327678885072,nvss,GBD
2000,All,All Origins,666,A,6,Deaths,crude rate,attributable,25,150,B,25.5630739659374,19.1599749546254,34.06938109006,nvss,GBD
2000,All,All Origins,666,A,6,YLL,absolute number,attributable,25,150,A,159731.620783335,130330.916983789,196853.61047352,nvss,GBD
2000,All,All Origins,666,A,6,YLL,absolute number,attributable,25,150,B,114725.327769916,85939.5223659479,152152.721175742,nvss,GBD
2000,All,All Origins,666,A,6,YLL,age-adjusted rate,attributable,85,150,A,43.4222133865916,33.1512175696298,56.4080773202423,nvss,GBD
2000,All,All Origins,666,A,6,YLL,age-adjusted rate,attributable,85,150,B,30.6464164017626,21.4039886267654,43.0697074705499,nvss,GBD
2000,All,All Origins,666,A,6,YLL,crude rate,attributable,25,150,A,748.875412659476,611.035052169869,922.915751145034,nvss,GBD
2000,All,All Origins,666,A,6,YLL,crude rate,attributable,25,150,B,537.870815777466,402.913305204952,713.342989315199,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,absolute number,attributable,25,150,A,272.314994057424,157.882117896024,436.809680938241,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,absolute number,attributable,25,150,B,272.314994057424,157.882117896024,436.809680938241,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,85,150,A,1.37344603628976,0.760623879993481,2.23098138718851,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,85,150,B,1.37344603628976,0.760623879993481,2.23098138718851,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,crude rate,attributable,25,150,A,9.77237309021898,5.66580244945503,15.6754760652212,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,crude rate,attributable,25,150,B,9.77237309021898,5.66580244945503,15.6754760652212,nvss,GBD
2000,All,All Origins,666,A,8,YLL,absolute number,attributable,25,150,A,5949.41852872617,3411.51844054177,9604.77226265639,nvss,GBD
2000,All,All Origins,666,A,8,YLL,absolute number,attributable,25,150,B,5949.41852872617,3411.51844054177,9604.77226265639,nvss,GBD
2000,All,All Origins,666,A,8,YLL,age-adjusted rate,attributable,85,150,A,11.9905244558283,6.66167041647878,19.4320008190958,nvss,GBD
2000,All,All Origins,666,A,8,YLL,age-adjusted rate,attributable,85,150,B,11.9905244558283,6.66167041647878,19.4320008190958,nvss,GBD
2000,All,All Origins,666,A,8,YLL,crude rate,attributable,25,150,A,213.50252024798,122.426718075267,344.679580799991,nvss,GBD
2000,All,All Origins,666,A,8,YLL,crude rate,attributable,25,150,B,213.50252024798,122.426718075267,344.679580799991,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,absolute number,attributable,25,150,A,661.225476249019,494.611579962006,877.145231367935,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,absolute number,attributable,25,150,B,636.063965428063,469.869834704166,851.728902854027,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,85,150,A,3.00719057116969,2.10831568148845,4.20552720502847,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,85,150,B,2.88480308276382,1.99657300470597,4.0814387534554,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,crude rate,attributable,25,150,A,28.7863810769932,21.5328627484974,38.1864247476689,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,crude rate,attributable,25,150,B,27.690977368301,20.4557334891374,37.0799275777023,nvss,GBD
2000,All,All Origins,666,A,9,YLL,absolute number,attributable,25,150,A,13699.9970956718,10235.3539087478,18144.5927870202,nvss,GBD
2000,All,All Origins,666,A,9,YLL,absolute number,attributable,25,150,B,13192.7004527071,9740.57793717667,17632.9072417906,nvss,GBD
2000,All,All Origins,666,A,9,YLL,age-adjusted rate,attributable,85,150,A,25.8017450995709,18.11599190768,35.99016992092,nvss,GBD
2000,All,All Origins,666,A,9,YLL,age-adjusted rate,attributable,85,150,B,24.751285024829,17.1746582768627,34.9222129015677,nvss,GBD
2000,All,All Origins,666,A,9,YLL,crude rate,attributable,25,150,A,596.427922570221,445.595048373703,789.922925258432,nvss,GBD
2000,All,All Origins,666,A,9,YLL,crude rate,attributable,25,150,B,574.342816947398,424.055028853912,767.646749240341,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,absolute number,attributable,25,150,A,226.180214826267,184.05503058555,279.648778880443,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,absolute number,attributable,25,150,B,178.685301869928,137.439636651005,232.045089690863,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,age-adjusted rate,attributable,85,150,A,4.8934413102528,3.69349761984929,6.451467922563,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,age-adjusted rate,attributable,85,150,B,3.80541380102488,2.70539981709546,5.28410793717085,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,crude rate,attributable,25,150,A,43.8753796902979,35.7037610785422,54.2474343422664,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,crude rate,attributable,25,150,B,34.6621187473916,26.6611128970381,45.0130725327859,nvss,GBD
2000,All,All Origins,666,A,10,YLL,absolute number,attributable,25,150,A,5012.36375939155,4068.81370609944,6191.26190353633,nvss,GBD
