Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,1,All,All Origins,A,666,nvss,Deaths,absolute number,A,1963.80206856354,7940.74724217331,15389.1876443606,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,absolute number,B,1340.36206228268,5618.1166562081,11246.181615168,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,absolute number,C,898.772461579422,3862.35015686637,7908.05800478432,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,48.558719668214,196.349991407681,380.526765251175,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,33.142986596354,138.918558106869,278.083106811379,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,C,22.223848679042,95.5039112800934,195.541688198335,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,crude rate,A,73.4702897416885,297.081365778748,575.744416007985,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,crude rate,B,50.1459850007736,210.186487295097,420.745163161185,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,Deaths,crude rate,C,33.625116411244,144.499280070723,295.858387261284,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,absolute number,A,44173.0863120922,178616.429285873,346159.078335511,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,absolute number,B,30149.6418679177,126371.978082095,252967.729854596,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,absolute number,C,20216.6777170776,86878.3721017151,177881.128856275,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,1070.32728308017,4327.93027230012,8387.53948978567,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,age-adjusted rate,B,730.534969604213,3062.03136911103,6129.48484263166,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,age-adjusted rate,C,489.85623465263,2105.08931418274,4310.11371980707,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,crude rate,A,1652.61535369904,6682.44576290621,12950.5962892833,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,crude rate,B,1127.96648863107,4727.86234088916,9464.09656310687,EPA,attributable,25,150
1993,1,All,All Origins,A,666,nvss,YLL,crude rate,C,756.351769490953,3250.31696054185,6654.93650600372,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,A,1.48300462074873,6.02175477125756,11.7142710085347,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,B,1.05194689461568,4.40922962746281,8.82627200306991,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,C,0.705383587153145,3.03128825699024,6.20648112985934,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,21.3596256668751,86.7309689883789,168.719935327176,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,15.1511273640392,63.5058670783858,127.124260694759,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,C,10.1595970520591,43.6594610372938,89.3915715349487,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,A,14.6541958572009,59.5035056448376,115.75366609224,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,B,10.394732160234,43.5694627219645,87.2161265125486,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,C,6.97019354894413,29.9534412746071,61.3288649195587,EPA,attributable,25,150
1993,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,A,35.1588196148344,142.762731015984,277.719931243651,EPA,attributable,25,150
