Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,label_cause,attr,value,Education,source,measure1,measure2
2015,A,American Indian or Alaska Native,25,25,All Origins,us,all-cause,overall,96,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,25,25,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,25,25,All Origins,us,ncd_lri,total,19,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,26,26,All Origins,us,all-cause,overall,111,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,26,26,All Origins,us,cvd_ihd,total,2,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,26,26,All Origins,us,ncd_lri,total,21,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,27,27,All Origins,us,all-cause,overall,88,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,27,27,All Origins,us,ncd_lri,total,21,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,28,28,All Origins,us,all-cause,overall,87,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,28,28,All Origins,us,cvd_ihd,total,2,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,28,28,All Origins,us,ncd_lri,total,23,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,29,29,All Origins,us,all-cause,overall,103,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,29,29,All Origins,us,cvd_ihd,total,2,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,29,29,All Origins,us,ncd_lri,total,40,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,29,29,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,30,30,All Origins,us,all-cause,overall,110,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,30,30,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,30,30,All Origins,us,ncd_lri,total,31,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,31,31,All Origins,us,all-cause,overall,106,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,31,31,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,31,31,All Origins,us,ncd_lri,total,39,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,32,32,All Origins,us,all-cause,overall,118,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,32,32,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,32,32,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,32,32,All Origins,us,ncd_lri,total,47,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,33,33,All Origins,us,all-cause,overall,115,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,33,33,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,33,33,All Origins,us,lri,total,2,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,33,33,All Origins,us,ncd_lri,total,44,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,33,33,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,34,34,All Origins,us,all-cause,overall,127,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_ihd,total,3,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_stroke,total,2,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,34,34,All Origins,us,ncd_lri,total,51,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,35,35,All Origins,us,all-cause,overall,120,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,35,35,All Origins,us,cvd_ihd,total,6,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,35,35,All Origins,us,ncd_lri,total,53,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,35,35,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,36,36,All Origins,us,all-cause,overall,119,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,36,36,All Origins,us,cvd_ihd,total,3,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,36,36,All Origins,us,ncd_lri,total,54,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,37,37,All Origins,us,all-cause,overall,131,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,37,37,All Origins,us,cvd_ihd,total,4,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,37,37,All Origins,us,ncd_lri,total,62,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,37,37,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,all-cause,overall,139,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,cvd_ihd,total,8,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,cvd_stroke,total,3,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,ncd_lri,total,72,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,38,38,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,39,39,All Origins,us,all-cause,overall,121,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,39,39,All Origins,us,cvd_ihd,total,5,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,39,39,All Origins,us,ncd_lri,total,61,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,40,40,All Origins,us,all-cause,overall,141,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,40,40,All Origins,us,cvd_ihd,total,11,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,40,40,All Origins,us,ncd_lri,total,81,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,40,40,All Origins,us,t2_dm,total,3,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,41,41,All Origins,us,all-cause,overall,134,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,41,41,All Origins,us,cvd_ihd,total,7,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,41,41,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,41,41,All Origins,us,ncd_lri,total,78,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,41,41,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,42,42,All Origins,us,all-cause,overall,155,666,nvss,Deaths,absolute number
2015,A,American Indian or Alaska Native,42,42,All Origins,us,cvd_ihd,total,10,666,nvss,Deaths,absolute number
