Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2004,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,124.190079109478,85.2715162987361,180.346404298332,wonder
2004,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,151.866623827225,106.061785827737,217.675524175234,wonder
2004,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,55.1818636987207,38.0580982677273,79.8217288116772,wonder
2004,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,61.6944761781617,43.5940050006558,88.5874820408357,wonder
2004,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,68.9556925980176,46.9844857266744,100.122259870986,wonder
2004,American Indian or Alaska Native,All Origins,666,M,us,YLL,crude rate,attributable,90.3345366795909,62.5902819466964,129.547741294838,wonder
2004,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,110.63644351813,83.8487221052268,145.357823242156,wonder
2004,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,158.13503169571,122.321133544706,207.532869937745,wonder
2004,Asian or Pacific Islander,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,45.235380473952,34.088533690372,59.2355935069635,wonder
2004,Asian or Pacific Islander,All Origins,666,F,us,YLL,crude rate,attributable,58.5687760739585,45.1324252180044,76.3204461709238,wonder
2004,Asian or Pacific Islander,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,65.5607137965528,49.9166823054864,86.3071813453511,wonder
2004,Asian or Pacific Islander,All Origins,666,M,us,YLL,crude rate,attributable,99.8035168193473,77.0952923460884,130.807792019731,wonder
2004,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,290.098608077846,221.664538636317,377.194151191478,wonder
2004,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,472.91897773887,367.061651295315,613.564261425007,wonder
2004,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,129.962640285344,98.8721636793495,167.663481565114,wonder
2004,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,198.102744280661,155.246147345645,255.452205215553,wonder
2004,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,159.554437427692,122.224292311041,208.991428987024,wonder
2004,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,273.693042878132,209.745878683219,355.415146774723,wonder
2004,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,139.876877657022,101.729866133962,187.26132955934,wonder
2004,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,144.664202565467,109.364573699277,191.231376817991,wonder
2004,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,57.4609538892898,42.0118768335368,77.7287430122657,wonder
2004,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,51.9891364838337,39.1282255905447,68.3218708695357,wonder
2004,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,82.1131534993901,59.6782403055046,110.026173447525,wonder
2004,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,92.4708157343356,69.7785449655868,123.170803602033,wonder
2004,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,187.87326917471,137.023222314092,258.710805545841,wonder
2004,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,430.847539131439,316.982683313865,592.901489848611,wonder
2004,White,Not Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,79.7490692367865,58.0897657809435,109.516250132288,wonder
2004,White,Not Hispanic or Latino,666,F,us,YLL,crude rate,attributable,176.001891423071,130.766854371587,239.972099297737,wonder
2004,White,Not Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,107.666222661648,77.8511308831103,149.098653643699,wonder
2004,White,Not Hispanic or Latino,666,M,us,YLL,crude rate,attributable,253.986221581745,185.442840928461,351.147935177356,wonder
