Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,mean,lower,upper,source,method
2002,American Indian or Alaska Native,All Origins,666,A,4,Deaths,absolute number,attributable,2.39955124429259,1.15643446574153,4.78438284123805,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,4,Deaths,age-adjusted rate,attributable,4.14434189583273,1.95449356764952,8.29547885946286,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,4,Deaths,crude rate,attributable,0.82329229058478,0.39677568148465,1.64153423177201,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,4,YLL,absolute number,attributable,58.7820363973501,28.1616319211284,116.243882244632,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,4,YLL,age-adjusted rate,attributable,94.877690430264,45.6015791679779,189.19756682503,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,4,YLL,crude rate,attributable,20.1682700071194,9.66232936516698,39.8835791931024,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,Deaths,absolute number,attributable,13.8044361889609,10.9370248700359,17.4525490033501,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,Deaths,age-adjusted rate,attributable,13.5068541036763,10.5604600076598,17.0755331230084,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,Deaths,crude rate,attributable,2.69091798826141,2.13196950299043,3.40204970425985,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,YLL,absolute number,attributable,301.939472034764,239.363992434814,381.23876927838,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,YLL,age-adjusted rate,attributable,283.636129219822,223.01651918116,358.930638047415,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,6,YLL,crude rate,attributable,58.8574821559341,46.6595566938104,74.315404702599,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,26,Deaths,absolute number,attributable,0.606015496142238,0.334115398940345,1.01929057216884,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,26,Deaths,age-adjusted rate,attributable,3.76329080457742,2.0748205557516,6.32968440882101,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,26,Deaths,crude rate,attributable,0.796770265375878,0.439284501426978,1.34013144028825,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,26,YLL,absolute number,attributable,15.563020530847,8.58038259166934,26.1762945049167,wonder,GBD
2002,American Indian or Alaska Native,All Origins,666,A,26,YLL,age-adjusted rate,attributable,96.6446772863373,53.2832495415374,162.551962838162,wonder,GBD
