Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,label_cause,attr,Deaths,Education,source
1998,A,American Indian or Alaska Native,100,100,All Origins,us,all-cause,overall,7,666,nvss
1998,A,American Indian or Alaska Native,100,100,All Origins,us,cvd_ihd,total,2,666,nvss
1998,A,American Indian or Alaska Native,100,100,All Origins,us,ncd_lri,total,6,666,nvss
1998,A,American Indian or Alaska Native,100,100,All Origins,us,resp_copd,total,1,666,nvss
1998,A,American Indian or Alaska Native,101,101,All Origins,us,all-cause,overall,6,666,nvss
1998,A,American Indian or Alaska Native,101,101,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,101,101,All Origins,us,ncd_lri,total,4,666,nvss
1998,A,American Indian or Alaska Native,102,102,All Origins,us,all-cause,overall,7,666,nvss
1998,A,American Indian or Alaska Native,102,102,All Origins,us,ncd_lri,total,2,666,nvss
1998,A,American Indian or Alaska Native,103,103,All Origins,us,all-cause,overall,4,666,nvss
1998,A,American Indian or Alaska Native,103,103,All Origins,us,ncd_lri,total,2,666,nvss
1998,A,American Indian or Alaska Native,103,103,All Origins,us,resp_copd,total,1,666,nvss
1998,A,American Indian or Alaska Native,104,104,All Origins,us,all-cause,overall,4,666,nvss
1998,A,American Indian or Alaska Native,104,104,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,104,104,All Origins,us,ncd_lri,total,2,666,nvss
1998,A,American Indian or Alaska Native,105,105,All Origins,us,all-cause,overall,2,666,nvss
1998,A,American Indian or Alaska Native,105,105,All Origins,us,ncd_lri,total,1,666,nvss
1998,A,American Indian or Alaska Native,106,106,All Origins,us,all-cause,overall,1,666,nvss
1998,A,American Indian or Alaska Native,106,106,All Origins,us,ncd_lri,total,1,666,nvss
1998,A,American Indian or Alaska Native,107,107,All Origins,us,all-cause,overall,2,666,nvss
1998,A,American Indian or Alaska Native,108,108,All Origins,us,all-cause,overall,1,666,nvss
1998,A,American Indian or Alaska Native,109,109,All Origins,us,all-cause,overall,2,666,nvss
1998,A,American Indian or Alaska Native,109,109,All Origins,us,ncd_lri,total,1,666,nvss
1998,A,American Indian or Alaska Native,112,112,All Origins,us,all-cause,overall,1,666,nvss
1998,A,American Indian or Alaska Native,112,112,All Origins,us,ncd_lri,total,1,666,nvss
1998,A,American Indian or Alaska Native,25,25,All Origins,us,all-cause,overall,61,666,nvss
1998,A,American Indian or Alaska Native,25,25,All Origins,us,cvd_stroke,total,1,666,nvss
1998,A,American Indian or Alaska Native,25,25,All Origins,us,ncd_lri,total,13,666,nvss
1998,A,American Indian or Alaska Native,26,26,All Origins,us,all-cause,overall,61,666,nvss
1998,A,American Indian or Alaska Native,26,26,All Origins,us,ncd_lri,total,9,666,nvss
1998,A,American Indian or Alaska Native,27,27,All Origins,us,all-cause,overall,46,666,nvss
1998,A,American Indian or Alaska Native,27,27,All Origins,us,ncd_lri,total,11,666,nvss
1998,A,American Indian or Alaska Native,27,27,All Origins,us,neo_lung,total,1,666,nvss
1998,A,American Indian or Alaska Native,28,28,All Origins,us,all-cause,overall,53,666,nvss
1998,A,American Indian or Alaska Native,28,28,All Origins,us,ncd_lri,total,15,666,nvss
1998,A,American Indian or Alaska Native,28,28,All Origins,us,resp_copd,total,1,666,nvss
1998,A,American Indian or Alaska Native,28,28,All Origins,us,t2_dm,total,1,666,nvss
1998,A,American Indian or Alaska Native,29,29,All Origins,us,all-cause,overall,64,666,nvss
1998,A,American Indian or Alaska Native,29,29,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,29,29,All Origins,us,ncd_lri,total,19,666,nvss
1998,A,American Indian or Alaska Native,30,30,All Origins,us,all-cause,overall,53,666,nvss
1998,A,American Indian or Alaska Native,30,30,All Origins,us,cvd_stroke,total,1,666,nvss
1998,A,American Indian or Alaska Native,30,30,All Origins,us,ncd_lri,total,19,666,nvss
1998,A,American Indian or Alaska Native,30,30,All Origins,us,t2_dm,total,2,666,nvss
1998,A,American Indian or Alaska Native,31,31,All Origins,us,all-cause,overall,79,666,nvss
1998,A,American Indian or Alaska Native,31,31,All Origins,us,ncd_lri,total,28,666,nvss
1998,A,American Indian or Alaska Native,31,31,All Origins,us,resp_copd,total,1,666,nvss
1998,A,American Indian or Alaska Native,31,31,All Origins,us,t2_dm,total,1,666,nvss
1998,A,American Indian or Alaska Native,32,32,All Origins,us,all-cause,overall,81,666,nvss
1998,A,American Indian or Alaska Native,32,32,All Origins,us,ncd_lri,total,34,666,nvss
1998,A,American Indian or Alaska Native,32,32,All Origins,us,t2_dm,total,1,666,nvss
1998,A,American Indian or Alaska Native,33,33,All Origins,us,all-cause,overall,73,666,nvss
1998,A,American Indian or Alaska Native,33,33,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,33,33,All Origins,us,ncd_lri,total,28,666,nvss
1998,A,American Indian or Alaska Native,33,33,All Origins,us,t2_dm,total,4,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,all-cause,overall,96,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_stroke,total,1,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,lri,total,1,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,ncd_lri,total,36,666,nvss
1998,A,American Indian or Alaska Native,34,34,All Origins,us,t2_dm,total,1,666,nvss
1998,A,American Indian or Alaska Native,35,35,All Origins,us,all-cause,overall,94,666,nvss
1998,A,American Indian or Alaska Native,35,35,All Origins,us,cvd_ihd,total,1,666,nvss
1998,A,American Indian or Alaska Native,35,35,All Origins,us,ncd_lri,total,44,666,nvss
1998,A,American Indian or Alaska Native,35,35,All Origins,us,t2_dm,total,1,666,nvss
