Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2004,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,19.0208384860324,13.2459524759042,27.3642295709431,wonder
2004,American Indian or Alaska Native,All Origins,us,Deaths,attributable,187.658638548546,130.526686679571,269.435961086419,wonder
2004,American Indian or Alaska Native,All Origins,us,YLL,attributable,5212.86019128952,3640.86087172034,7469.31099396232,wonder
2004,American Indian or Alaska Native,Hispanic or Latino,us,age-adjusted Death,attributable,0.582449402055511,0.439097413814075,0.779909984210995,wonder
2004,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,6.08572888869527,4.5501538589145,8.10985932184686,wonder
2004,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,181.516478300596,139.85469909215,240.1447118473,wonder
2004,American Indian or Alaska Native,Not Hispanic or Latino,us,age-adjusted Death,attributable,17.6515345648923,11.9979793111457,25.9349986421214,wonder
2004,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,175.07162010619,119.274055466973,257.081822669738,wonder
2004,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4798.32299610788,3266.5375924381,7033.10052966028,wonder
2004,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,83.83617535436,64.7673849233958,110.1467072776,wonder
2004,Asian or Pacific Islander,All Origins,us,Deaths,attributable,927.34724533113,713.350160480242,1208.0269944076,wonder
2004,Asian or Pacific Islander,All Origins,us,YLL,attributable,22119.6006576357,17117.4098495975,29018.7147314698,wonder
2004,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,1.24708987512285,0.952192746531806,1.65579671001437,wonder
2004,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,12.6078414522738,9.58989266482613,16.8536073406615,wonder
2004,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,335.098604576474,255.835974495586,445.256869697056,wonder
2004,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,84.1182421891929,65.0195127268589,110.860400145328,wonder
2004,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,939.088229214367,722.736317769582,1238.97602774066,wonder
2004,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,22132.3864238397,17165.7854606846,29108.0869236836,wonder
2004,Black or African American,All Origins,us,age-adjusted Death,attributable,681.262866666083,528.429713840328,886.040165496466,wonder
2004,Black or African American,All Origins,us,Deaths,attributable,6778.471610119,5237.27965178719,8781.73091059472,wonder
2004,Black or African American,All Origins,us,YLL,attributable,182769.727317115,141786.917113796,237250.804835539,wonder
2004,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,3.98233415206016,3.04288455708486,5.21712338382007,wonder
2004,Black or African American,Hispanic or Latino,us,Deaths,attributable,40.2471125200819,30.3958000062978,52.1730661068698,wonder
2004,Black or African American,Hispanic or Latino,us,YLL,attributable,1088.86844457689,835.705057157041,1424.68522049339,wonder
2004,Black or African American,Not Hispanic or Latino,us,age-adjusted Death,attributable,687.475616466528,531.822696247759,894.701628331373,wonder
2004,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,6879.75102729809,5320.5994676239,8996.75067076551,wonder
2004,Black or African American,Not Hispanic or Latino,us,YLL,attributable,184015.150695363,142373.336688498,238716.98738566,wonder
2004,White,All Origins,us,age-adjusted Death,attributable,3570.34288683587,2633.92676726265,4907.44380765425,wonder
2004,White,All Origins,us,Deaths,attributable,42577.6985179604,31195.5697360842,57808.0851467968,wonder
2004,White,All Origins,us,YLL,attributable,910972.804440982,671101.1185826,1251239.63243172,wonder
2004,White,Hispanic or Latino,us,age-adjusted Death,attributable,203.090756542594,152.491284499643,269.761424969874,wonder
2004,White,Hispanic or Latino,us,Deaths,attributable,2169.68298412776,1608.83496912824,2869.38398371015,wonder
2004,White,Hispanic or Latino,us,YLL,attributable,54964.407994484,41542.7689056642,72679.6450767675,wonder
2004,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,3359.46145428295,2475.41144128054,4627.0786404724,wonder
2004,White,Not Hispanic or Latino,us,Deaths,attributable,40321.507875447,29498.5030632541,54829.4303960424,wonder
2004,White,Not Hispanic or Latino,us,YLL,attributable,854052.698831297,628064.463891958,1175854.41867491,wonder
