"variable","scenario","pm","pop_size","rural_urban_class","prop","STATEFP"
"AAAA00024","A",3.33714,8620.59998466759,666,1,2
"AAAA00024","B",3.33714,8620.59998466759,666,1,2
"AAAA00024","C",3.33714,8620.59998466759,666,1,2
"AAAA25029","A",3.33714,1835.59999412513,666,1,2
"AAAA25029","B",3.33714,1835.59999412513,666,1,2
"AAAA25029","C",3.33714,1835.59999412513,666,1,2
"AAAA30034","A",3.33714,2211.59999582942,666,1,2
"AAAA30034","B",3.33714,2211.59999582942,666,1,2
"AAAA30034","C",3.33714,2211.59999582942,666,1,2
"AAAA35039","A",3.33714,2153.19999677486,666,1,2
"AAAA35039","B",3.33714,2153.19999677486,666,1,2
"AAAA35039","C",3.33714,2153.19999677486,666,1,2
"AAAA40044","A",3.33714,1863.99999659837,666,1,2
"AAAA40044","B",3.33714,1863.99999659837,666,1,2
"AAAA40044","C",3.33714,1863.99999659837,666,1,2
"AAAA45049","A",3.33714,1290.99999675638,666,1,2
"AAAA45049","B",3.33714,1290.99999675638,666,1,2
"AAAA45049","C",3.33714,1290.99999675638,666,1,2
"AAAA50054","A",3.33714,946.199997984612,666,1,2
"AAAA50054","B",3.33714,946.199997984612,666,1,2
"AAAA50054","C",3.33714,946.199997984612,666,1,2
"AAAA55059","A",3.33714,713.399998918117,666,1,2
"AAAA55059","B",3.33714,713.399998918117,666,1,2
"AAAA55059","C",3.33714,713.399998918117,666,1,2
"AAAA60064","A",3.33714,568.799998963609,666,1,2
"AAAA60064","B",3.33714,568.799998963609,666,1,2
"AAAA60064","C",3.33714,568.799998963609,666,1,2
"AAAA65069","A",3.33714,437.999999424034,666,1,2
"AAAA65069","B",3.33714,437.999999424034,666,1,2
"AAAA65069","C",3.33714,437.999999424034,666,1,2
"AAAA70074","A",3.33714,293.199999903754,666,1,2
"AAAA70074","B",3.33714,293.199999903754,666,1,2
"AAAA70074","C",3.33714,293.199999903754,666,1,2
"AAAA75079","A",3.33714,174.800000023105,666,1,2
"AAAA75079","B",3.33714,174.800000023105,666,1,2
"AAAA75079","C",3.33714,174.800000023105,666,1,2
"AAAA80084","A",3.33714,86.1999997087771,666,1,2
"AAAA80084","B",3.33714,86.1999997087771,666,1,2
"AAAA80084","C",3.33714,86.1999997087771,666,1,2
"AAAA85150","A",3.33714,49.9999997678295,666,1,2
"AAAA85150","B",3.33714,49.9999997678295,666,1,2
"AAAA85150","C",3.33714,49.9999997678295,666,1,2
"BAAA00024","A",3.33714,11090.5999976539,666,1,2
"BAAA00024","B",3.33714,11090.5999976539,666,1,2
"BAAA00024","C",3.33714,11090.5999976539,666,1,2
"BAAA25029","A",3.33714,2619.39999819839,666,1,2
"BAAA25029","B",3.33714,2619.39999819839,666,1,2
"BAAA25029","C",3.33714,2619.39999819839,666,1,2
"BAAA30034","A",3.33714,2485.99999893588,666,1,2
"BAAA30034","B",3.33714,2485.99999893588,666,1,2
"BAAA30034","C",3.33714,2485.99999893588,666,1,2
"BAAA35039","A",3.33714,2082.80000017099,666,1,2
"BAAA35039","B",3.33714,2082.80000017099,666,1,2
"BAAA35039","C",3.33714,2082.80000017099,666,1,2
"BAAA40044","A",3.33714,1292.99999911086,666,1,2
"BAAA40044","B",3.33714,1292.99999911086,666,1,2
"BAAA40044","C",3.33714,1292.99999911086,666,1,2
"BAAA45049","A",3.33714,833.599998422355,666,1,2
"BAAA45049","B",3.33714,833.599998422355,666,1,2
"BAAA45049","C",3.33714,833.599998422355,666,1,2
"BAAA50054","A",3.33714,606.599999179265,666,1,2
"BAAA50054","B",3.33714,606.599999179265,666,1,2
"BAAA50054","C",3.33714,606.599999179265,666,1,2
"BAAA55059","A",3.33714,417.599999427616,666,1,2
"BAAA55059","B",3.33714,417.599999427616,666,1,2
"BAAA55059","C",3.33714,417.599999427616,666,1,2
"BAAA60064","A",3.33714,293.599999804795,666,1,2
"BAAA60064","B",3.33714,293.599999804795,666,1,2
"BAAA60064","C",3.33714,293.599999804795,666,1,2
"BAAA65069","A",3.33714,233.999999873981,666,1,2
"BAAA65069","B",3.33714,233.999999873981,666,1,2
"BAAA65069","C",3.33714,233.999999873981,666,1,2
"BAAA70074","A",3.33714,151.399999720229,666,1,2
"BAAA70074","B",3.33714,151.399999720229,666,1,2
"BAAA70074","C",3.33714,151.399999720229,666,1,2
"BAAA75079","A",3.33714,84.0000000553927,666,1,2
"BAAA75079","B",3.33714,84.0000000553927,666,1,2
"BAAA75079","C",3.33714,84.0000000553927,666,1,2
"BAAA80084","A",3.33714,40.9999999771373,666,1,2
"BAAA80084","B",3.33714,40.9999999771373,666,1,2
"BAAA80084","C",3.33714,40.9999999771373,666,1,2
"BAAA85150","A",3.33714,23.7999999707562,666,1,2
"BAAA85150","B",3.33714,23.7999999707562,666,1,2
"BAAA85150","C",3.33714,23.7999999707562,666,1,2
"IAAA00024","A",3.33714,45026.7997631509,666,1,2
"IAAA00024","B",3.33714,45026.7997631509,666,1,2
"IAAA00024","C",3.33714,45026.7997631509,666,1,2
"IAAA25029","A",3.33714,7730.39996135029,666,1,2
"IAAA25029","B",3.33714,7730.39996135029,666,1,2
"IAAA25029","C",3.33714,7730.39996135029,666,1,2
"IAAA30034","A",3.33714,7302.19996681734,666,1,2
"IAAA30034","B",3.33714,7302.19996681734,666,1,2
"IAAA30034","C",3.33714,7302.19996681734,666,1,2
"IAAA35039","A",3.33714,6569.19997058244,666,1,2
"IAAA35039","B",3.33714,6569.19997058244,666,1,2
"IAAA35039","C",3.33714,6569.19997058244,666,1,2
"IAAA40044","A",3.33714,5050.99997947504,666,1,2
"IAAA40044","B",3.33714,5050.99997947504,666,1,2
"IAAA40044","C",3.33714,5050.99997947504,666,1,2
"IAAA45049","A",3.33714,4099.19998150012,666,1,2
"IAAA45049","B",3.33714,4099.19998150012,666,1,2
"IAAA45049","C",3.33714,4099.19998150012,666,1,2
"IAAA50054","A",3.33714,3120.59998801495,666,1,2
"IAAA50054","B",3.33714,3120.59998801495,666,1,2
"IAAA50054","C",3.33714,3120.59998801495,666,1,2
"IAAA55059","A",3.33714,2739.39998607395,666,1,2
"IAAA55059","B",3.33714,2739.39998607395,666,1,2
"IAAA55059","C",3.33714,2739.39998607395,666,1,2
"IAAA60064","A",3.33714,2046.39998850083,666,1,2
"IAAA60064","B",3.33714,2046.39998850083,666,1,2
"IAAA60064","C",3.33714,2046.39998850083,666,1,2
"IAAA65069","A",3.33714,1696.19999135846,666,1,2
"IAAA65069","B",3.33714,1696.19999135846,666,1,2
"IAAA65069","C",3.33714,1696.19999135846,666,1,2
"IAAA70074","A",3.33714,1090.99999397005,666,1,2
"IAAA70074","B",3.33714,1090.99999397005,666,1,2
"IAAA70074","C",3.33714,1090.99999397005,666,1,2
"IAAA75079","A",3.33714,865.599994007291,666,1,2
"IAAA75079","B",3.33714,865.599994007291,666,1,2
"IAAA75079","C",3.33714,865.599994007291,666,1,2
"IAAA80084","A",3.33714,461.999996392177,666,1,2
"IAAA80084","B",3.33714,461.999996392177,666,1,2
"IAAA80084","C",3.33714,461.999996392177,666,1,2
"IAAA85150","A",3.33714,337.399997176317,666,1,2
"IAAA85150","B",3.33714,337.399997176317,666,1,2
"IAAA85150","C",3.33714,337.399997176317,666,1,2
"UAAA00024","A",3.33714,226302.799500836,666,1,2
"UAAA00024","B",3.33714,226302.799500836,666,1,2
"UAAA00024","C",3.33714,226302.799500836,666,1,2
"UAAA25029","A",3.33714,50363.799885402,666,1,2
"UAAA25029","B",3.33714,50363.799885402,666,1,2
"UAAA25029","C",3.33714,50363.799885402,666,1,2
"UAAA30034","A",3.33714,56203.3998808464,666,1,2
"UAAA30034","B",3.33714,56203.3998808464,666,1,2
"UAAA30034","C",3.33714,56203.3998808464,666,1,2
"UAAA35039","A",3.33714,56582.7998810746,666,1,2
"UAAA35039","B",3.33714,56582.7998810746,666,1,2
"UAAA35039","C",3.33714,56582.7998810746,666,1,2
"UAAA40044","A",3.33714,47252.5999039392,666,1,2
"UAAA40044","B",3.33714,47252.5999039392,666,1,2
"UAAA40044","C",3.33714,47252.5999039392,666,1,2
"UAAA45049","A",3.33714,35917.9999179465,666,1,2
"UAAA45049","B",3.33714,35917.9999179465,666,1,2
"UAAA45049","C",3.33714,35917.9999179465,666,1,2
"UAAA50054","A",3.33714,25389.9999486305,666,1,2
"UAAA50054","B",3.33714,25389.9999486305,666,1,2
"UAAA50054","C",3.33714,25389.9999486305,666,1,2
"UAAA55059","A",3.33714,18550.3999548991,666,1,2
"UAAA55059","B",3.33714,18550.3999548991,666,1,2
"UAAA55059","C",3.33714,18550.3999548991,666,1,2
"UAAA60064","A",3.33714,13629.1999646033,666,1,2
"UAAA60064","B",3.33714,13629.1999646033,666,1,2
"UAAA60064","C",3.33714,13629.1999646033,666,1,2
"UAAA65069","A",3.33714,10137.999981527,666,1,2
"UAAA65069","B",3.33714,10137.999981527,666,1,2
"UAAA65069","C",3.33714,10137.999981527,666,1,2
"UAAA70074","A",3.33714,6649.19998958698,666,1,2
"UAAA70074","B",3.33714,6649.19998958698,666,1,2
"UAAA70074","C",3.33714,6649.19998958698,666,1,2
"UAAA75079","A",3.33714,4244.39998828579,666,1,2
"UAAA75079","B",3.33714,4244.39998828579,666,1,2
"UAAA75079","C",3.33714,4244.39998828579,666,1,2
"UAAA80084","A",3.33714,2262.59999340149,666,1,2
"UAAA80084","B",3.33714,2262.59999340149,666,1,2
"UAAA80084","C",3.33714,2262.59999340149,666,1,2
"UAAA85150","A",3.33714,1515.39999499687,666,1,2
"UAAA85150","B",3.33714,1515.39999499687,666,1,2
"UAAA85150","C",3.33714,1515.39999499687,666,1,2
"WAAA00024","A",3.33714,158915.199758607,666,1,2
"WAAA00024","B",3.33714,158915.199758607,666,1,2
"WAAA00024","C",3.33714,158915.199758607,666,1,2
"WAAA25029","A",3.33714,37519.9999333899,666,1,2
"WAAA25029","B",3.33714,37519.9999333899,666,1,2
"WAAA25029","C",3.33714,37519.9999333899,666,1,2
"WAAA30034","A",3.33714,43567.5999201798,666,1,2
"WAAA30034","B",3.33714,43567.5999201798,666,1,2
"WAAA30034","C",3.33714,43567.5999201798,666,1,2
"WAAA35039","A",3.33714,45320.7999148093,666,1,2
"WAAA35039","B",3.33714,45320.7999148093,666,1,2
"WAAA35039","C",3.33714,45320.7999148093,666,1,2
"WAAA40044","A",3.33714,38732.599929342,666,1,2
"WAAA40044","B",3.33714,38732.599929342,666,1,2
"WAAA40044","C",3.33714,38732.599929342,666,1,2
"WAAA45049","A",3.33714,29507.7999415096,666,1,2
"WAAA45049","B",3.33714,29507.7999415096,666,1,2
"WAAA45049","C",3.33714,29507.7999415096,666,1,2
"WAAA50054","A",3.33714,20587.7999636047,666,1,2
"WAAA50054","B",3.33714,20587.7999636047,666,1,2
"WAAA50054","C",3.33714,20587.7999636047,666,1,2
"WAAA55059","A",3.33714,14611.9999707729,666,1,2
"WAAA55059","B",3.33714,14611.9999707729,666,1,2
"WAAA55059","C",3.33714,14611.9999707729,666,1,2
"WAAA60064","A",3.33714,10687.5999773644,666,1,2
"WAAA60064","B",3.33714,10687.5999773644,666,1,2
"WAAA60064","C",3.33714,10687.5999773644,666,1,2
"WAAA65069","A",3.33714,7740.99999094578,666,1,2
"WAAA65069","B",3.33714,7740.99999094578,666,1,2
"WAAA65069","C",3.33714,7740.99999094578,666,1,2
"WAAA70074","A",3.33714,5099.19999597687,666,1,2
"WAAA70074","B",3.33714,5099.19999597687,666,1,2
"WAAA70074","C",3.33714,5099.19999597687,666,1,2
"WAAA75079","A",3.33714,3107.99999425787,666,1,2
"WAAA75079","B",3.33714,3107.99999425787,666,1,2
"WAAA75079","C",3.33714,3107.99999425787,666,1,2
"WAAA80084","A",3.33714,1667.79999737895,666,1,2
"WAAA80084","B",3.33714,1667.79999737895,666,1,2
"WAAA80084","C",3.33714,1667.79999737895,666,1,2
"WAAA85150","A",3.33714,1100.19999813567,666,1,2
"WAAA85150","B",3.33714,1100.19999813567,666,1,2
"WAAA85150","C",3.33714,1100.19999813567,666,1,2
"AAAA00024","A",3.33714,5183.60000391221,3,1,2
"AAAA00024","B",3.33714,5183.60000391221,3,1,2
"AAAA00024","C",3.33714,5183.60000391221,3,1,2
"AAAA00024","A",3.33714,865.399994784135,4,1,2
"AAAA00024","B",3.33714,865.399994784135,4,1,2
"AAAA00024","C",3.33714,865.399994784135,4,1,2
"AAAA00024","A",3.33714,709.310605968116,5,1,2
"AAAA00024","B",3.33714,709.310605968116,5,1,2
"AAAA00024","C",3.33714,709.310605968116,5,1,2
"AAAA00024","A",3.33714,1862.28938000313,6,1,2
"AAAA00024","B",3.33714,1862.28938000313,6,1,2
"AAAA00024","C",3.33714,1862.28938000313,6,1,2
"AAAA25029","A",3.33714,991.39999992125,3,1,2
"AAAA25029","B",3.33714,991.39999992125,3,1,2
"AAAA25029","C",3.33714,991.39999992125,3,1,2
"AAAA25029","A",3.33714,236.59999808322,4,1,2
"AAAA25029","B",3.33714,236.59999808322,4,1,2
"AAAA25029","C",3.33714,236.59999808322,4,1,2
"AAAA25029","A",3.33714,131.600140162338,5,1,2
"AAAA25029","B",3.33714,131.600140162338,5,1,2
"AAAA25029","C",3.33714,131.600140162338,5,1,2
"AAAA25029","A",3.33714,475.999855958317,6,1,2
"AAAA25029","B",3.33714,475.999855958317,6,1,2
"AAAA25029","C",3.33714,475.999855958317,6,1,2
"AAAA30034","A",3.33714,1198.00000098964,3,1,2
"AAAA30034","B",3.33714,1198.00000098964,3,1,2
"AAAA30034","C",3.33714,1198.00000098964,3,1,2
"AAAA30034","A",3.33714,244.599998905362,4,1,2
"AAAA30034","B",3.33714,244.599998905362,4,1,2
"AAAA30034","C",3.33714,244.599998905362,4,1,2
"AAAA30034","A",3.33714,177.400140316278,5,1,2
"AAAA30034","B",3.33714,177.400140316278,5,1,2
"AAAA30034","C",3.33714,177.400140316278,5,1,2
"AAAA30034","A",3.33714,591.599855618137,6,1,2
"AAAA30034","B",3.33714,591.599855618137,6,1,2
"AAAA30034","C",3.33714,591.599855618137,6,1,2
"AAAA35039","A",3.33714,1248.20000064001,3,1,2
"AAAA35039","B",3.33714,1248.20000064001,3,1,2
"AAAA35039","C",3.33714,1248.20000064001,3,1,2
"AAAA35039","A",3.33714,183.799998921456,4,1,2
"AAAA35039","B",3.33714,183.799998921456,4,1,2
"AAAA35039","C",3.33714,183.799998921456,4,1,2
"AAAA35039","A",3.33714,159.827742588947,5,1,2
"AAAA35039","B",3.33714,159.827742588947,5,1,2
"AAAA35039","C",3.33714,159.827742588947,5,1,2
"AAAA35039","A",3.33714,561.372254624443,6,1,2
"AAAA35039","B",3.33714,561.372254624443,6,1,2
"AAAA35039","C",3.33714,561.372254624443,6,1,2
"AAAA40044","A",3.33714,1089.2000227763,3,1,2
"AAAA40044","B",3.33714,1089.2000227763,3,1,2
"AAAA40044","C",3.33714,1089.2000227763,3,1,2
"AAAA40044","A",3.33714,165.199999857411,4,1,2
"AAAA40044","B",3.33714,165.199999857411,4,1,2
"AAAA40044","C",3.33714,165.199999857411,4,1,2
"AAAA40044","A",3.33714,146.400054224521,5,1,2
"AAAA40044","B",3.33714,146.400054224521,5,1,2
"AAAA40044","C",3.33714,146.400054224521,5,1,2
"AAAA40044","A",3.33714,463.199919740135,6,1,2
"AAAA40044","B",3.33714,463.199919740135,6,1,2
"AAAA40044","C",3.33714,463.199919740135,6,1,2
"AAAA45049","A",3.33714,766.599999755275,3,1,2
"AAAA45049","B",3.33714,766.599999755275,3,1,2
"AAAA45049","C",3.33714,766.599999755275,3,1,2
"AAAA45049","A",3.33714,81.7999991837062,4,1,2
"AAAA45049","B",3.33714,81.7999991837062,4,1,2
"AAAA45049","C",3.33714,81.7999991837062,4,1,2
"AAAA45049","A",3.33714,98.8000434525113,5,1,2
"AAAA45049","B",3.33714,98.8000434525113,5,1,2
"AAAA45049","C",3.33714,98.8000434525113,5,1,2
"AAAA45049","A",3.33714,343.799954364884,6,1,2
"AAAA45049","B",3.33714,343.799954364884,6,1,2
"AAAA45049","C",3.33714,343.799954364884,6,1,2
"AAAA50054","A",3.33714,529.200000205421,3,1,2
"AAAA50054","B",3.33714,529.200000205421,3,1,2
"AAAA50054","C",3.33714,529.200000205421,3,1,2
"AAAA50054","A",3.33714,78.5999993406097,4,1,2
"AAAA50054","B",3.33714,78.5999993406097,4,1,2
