Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,source,agr_by,overall_value
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,1014406
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,818.814497747922
1990,"All, All Origins",666,large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1117.75927614055
1990,"All, All Origins",666,large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,23073088.6054444
1990,"All, All Origins",666,large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,17657.6794697248
1990,"All, All Origins",666,large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,25423.9020845189
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,365521
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,548.260133289871
1990,"All, All Origins",666,small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,808.901790247993
1990,"All, All Origins",666,small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,7928608.6116817
1990,"All, All Origins",666,small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,11545.7317264582
1990,"All, All Origins",666,small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,17546.0936585449
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,9780
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,25.1950257047942
1990,"All, All Origins",666,non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,43.6084814483367
1990,"All, All Origins",666,non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,203535.573610824
1990,"All, All Origins",666,non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,538.261307170505
1990,"All, All Origins",666,non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,907.553914712084
